len,ttl,id(new),id(overlap),off(new),off(overlap),sum(new),sum(overlap),ICMP,IGMP,TCP,UDP
202.1681945,128,0.954563571,0.045436429,0.00079713,0.99920287,0.87963332,0.12036668,0,0,0.989637306,0.010362694
920.7103825,128,1,0,0.003642987,0.996357013,0.987249545,0.012750455,0,0,1,0
819.8239437,128,1,0,0.001173709,0.998826291,0.974178404,0.025821596,0,0,0.992957746,0.007042254
567.5993837,128,0.998459168,0.001540832,0.001540832,0.998459168,0.958397535,0.041602465,0,0,0.995377504,0.004622496
811.0347252,128,0.945462292,0.054537708,0.000426076,0.999573924,0.922880273,0.077119727,0,0,1,0
104.2905457,126.8332052,0.978478094,0.021521906,0.001537279,0.998462721,0.986164489,0.013835511,0,0,0.169869331,0.830130669
919.0297897,128,1,0,0.001168224,0.998831776,0.973130841,0.026869159,0,0,1,0
810.9696049,128,1,0,0.003039514,0.996960486,0.902735562,0.097264438,0,0,1,0
906.6823821,128,1,0,0.00248139,0.99751861,0.966501241,0.033498759,0,0,1,0
598.9285714,87.32857143,0.985714286,0.014285714,0.014285714,0.985714286,0.971428571,0.028571429,0,0,1,0
851.0777778,79.88888889,1,0,0.011111111,0.988888889,0.988888889,0.011111111,0,0,1,0
914.0158122,128,1,0,0.000958313,0.999041687,0.966459032,0.033540968,0,0,0.99425012,0.00574988
815.0323786,128,1,0,0.00249066,0.99750934,0.96014944,0.03985056,0,0,1,0
890.762218,128,1,0,0.000626566,0.999373434,0.927318296,0.072681704,0,0,0.993107769,0.006892231
110.2990868,128,1,0,0.002283105,0.997716895,0.742009132,0.257990868,0,0,0,1
731.7700831,128,0.853185596,0.146814404,0.005540166,0.994459834,0.983379501,0.016620499,0,0,0.944598338,0.055401662
344.9168224,154.7878505,0.971962617,0.028037383,0.001869159,0.998130841,0.910280374,0.089719626,0,0,0.386915888,0.613084112
612.2593886,128,0.986026201,0.013973799,0.001746725,0.998253275,0.947598253,0.052401747,0,0,1,0
78.96603476,128,1,0,0.001579779,0.998420221,0.999210111,0.000789889,0,0,1,0
913.4461538,79.04615385,1,0,0.015384615,0.984615385,0.984615385,0.015384615,0,0,1,0
888.1131008,128,1,0,0.001885014,0.998114986,0.967012253,0.032987747,0,0,1,0
584.0186916,128,1,0,0.000602954,0.999397046,0.929152849,0.070847151,0,0,1,0
878.1663685,128,0.992844365,0.007155635,0.003577818,0.996422182,0.901610018,0.098389982,0,0,1,0
843.4608696,128,1,0,0.017391304,0.982608696,1,0,0,0,1,0
804.7587719,77.17105263,0.995614035,0.004385965,0.00877193,0.99122807,0.986842105,0.013157895,0.013157895,0,0.907894737,0.078947368
544.3950178,128,1,0,0.003558719,0.996441281,0.914590747,0.085409253,0,0,0.978647687,0.021352313
823.2813102,128,1,0,0.003853565,0.996146435,0.967244701,0.032755299,0,0,1,0
